Sample_1,Sample_2,Euclidean_Similarity
SAM_002,SAM_080,0.30439945
SAM_002,SAM_081,0.513211698
SAM_002,SAM_082,0.670341706
SAM_002,SAM_083,0.581716267
SAM_002,SAM_084,0.179093813
SAM_002,SAM_085,0.410026366
SAM_002,SAM_086,0.579991549
SAM_002,SAM_087,0.18286248
SAM_002,SAM_088,0.828996832
SAM_002,SAM_089,0.668705065
SAM_002,SAM_090,0.80785441
SAM_002,SAM_091,0.414390571
SAM_002,SAM_092,0.547835687
SAM_002,SAM_093,0.396631092
SAM_002,SAM_094,0.614657579
SAM_002,SAM_095,0.486393477
SAM_002,SAM_096,0.529522898
SAM_002,SAM_097,0.529431876
SAM_002,SAM_098,0.624336886
SAM_002,SAM_099,0.692960079
SAM_002,SAM_100,0.456480821
SAM_003,SAM_004,0.500988751
SAM_003,SAM_005,0.384256631
SAM_003,SAM_006,0.435948289
SAM_003,SAM_007,0.352730001
SAM_003,SAM_008,0.378836188
SAM_003,SAM_009,0.201743917
SAM_003,SAM_010,0.353286401
SAM_003,SAM_011,0.104079155
SAM_003,SAM_012,0.390882893
SAM_003,SAM_013,0.350276569
SAM_003,SAM_014,0.488171892
SAM_003,SAM_015,0.406905596
SAM_003,SAM_016,0.302666121
SAM_003,SAM_017,0.379717058
SAM_003,SAM_018,0.425772448
SAM_003,SAM_019,0.344872475
SAM_003,SAM_020,0.105461376
SAM_003,SAM_021,0.279124986
SAM_003,SAM_022,0.279641559
SAM_003,SAM_023,0.413088648
SAM_003,SAM_024,0.442964098
SAM_003,SAM_025,0.427643315
SAM_003,SAM_026,0.105225316
SAM_003,SAM_027,0.412865857
SAM_003,SAM_028,0.277426929
SAM_003,SAM_029,0.361324844
SAM_003,SAM_030,0.305301172
SAM_003,SAM_031,0.277269926
SAM_003,SAM_032,0.310860783
SAM_003,SAM_033,0.433803916
SAM_003,SAM_034,0.404720371
SAM_003,SAM_035,0.373965958
SAM_003,SAM_036,0.431358957
SAM_003,SAM_037,0.402185416
SAM_003,SAM_038,0.455329926
SAM_003,SAM_039,0.36039432
SAM_003,SAM_040,0.314803409
SAM_003,SAM_041,0.410518402
SAM_003,SAM_042,0.103302931
SAM_003,SAM_043,0.45171462
SAM_003,SAM_044,0.278832021
SAM_003,SAM_045,0.378123224
SAM_003,SAM_046,0.278945026
SAM_003,SAM_047,0.318301726
SAM_003,SAM_048,0.362882957
SAM_003,SAM_049,0.335996465
SAM_003,SAM_050,0.453472261
SAM_003,SAM_051,0.331699265
SAM_003,SAM_052,0.357617824
SAM_003,SAM_053,0.105413797
SAM_003,SAM_054,0.381253629
SAM_003,SAM_055,0.512590008
SAM_003,SAM_056,0.442054157
SAM_003,SAM_057,0.507913911
SAM_003,SAM_058,0.451098776
SAM_003,SAM_059,0.369045301
SAM_003,SAM_060,0.462890927
SAM_003,SAM_061,0.576535172
SAM_003,SAM_062,0.370115447
SAM_003,SAM_063,0.304333056
SAM_003,SAM_064,0.386046042
SAM_003,SAM_065,0.384432632
SAM_003,SAM_066,0.104879273
SAM_003,SAM_067,0.520597722
SAM_003,SAM_068,0.348432748
SAM_003,SAM_069,0.314469823
SAM_003,SAM_070,0.440323101
SAM_003,SAM_071,0.390367199
SAM_003,SAM_072,0.255649913
SAM_003,SAM_073,0.540771461
SAM_003,SAM_074,0.305975412
SAM_003,SAM_075,0.415813648
SAM_003,SAM_076,0.443419589
SAM_003,SAM_077,0.210283279
SAM_003,SAM_078,0.40347078
SAM_003,SAM_079,0.367245906
SAM_003,SAM_080,0.217200385
SAM_003,SAM_081,0.423686928
SAM_003,SAM_082,0.446194227
SAM_003,SAM_083,0.433315156
SAM_003,SAM_084,0.382335191
SAM_003,SAM_085,0.27976911
SAM_003,SAM_086,0.482364354
SAM_003,SAM_087,0.105286565
SAM_003,SAM_088,0.376356372
SAM_003,SAM_089,0.413205705
SAM_003,SAM_090,0.37599916
SAM_003,SAM_091,0.438160236
SAM_003,SAM_092,0.36418316
SAM_003,SAM_093,0.459515266
SAM_003,SAM_094,0.309023877
SAM_003,SAM_095,0.363638558
SAM_003,SAM_096,0.357320413
SAM_003,SAM_097,0.40974772
SAM_003,SAM_098,0.329547467
SAM_003,SAM_099,0.34684114
SAM_003,SAM_100,0.337595805
SAM_004,SAM_005,0.686590428
SAM_004,SAM_006,0.684665649
SAM_004,SAM_007,0.67332897
SAM_004,SAM_008,0.650241929
SAM_004,SAM_009,0.585989846
SAM_004,SAM_010,0.589657556
SAM_004,SAM_011,0.478209274
SAM_004,SAM_012,0.679944559
SAM_004,SAM_013,0.686353536
SAM_004,SAM_014,0.783056088
SAM_004,SAM_015,0.624310911
SAM_004,SAM_016,0.570865451
SAM_004,SAM_017,0.73404757
SAM_004,SAM_018,0.662549166
SAM_004,SAM_019,0.625967392
SAM_004,SAM_020,0.257909038
SAM_004,SAM_021,0.571994057
SAM_004,SAM_022,0.555712801
SAM_004,SAM_023,0.499557001
SAM_004,SAM_024,0.620059472
SAM_004,SAM_025,0.688252944
SAM_004,SAM_026,0.290472697
SAM_004,SAM_027,0.691270352
SAM_004,SAM_028,0.55334375
SAM_004,SAM_029,0.51154298
SAM_004,SAM_030,0.527751086
SAM_004,SAM_031,0.590441126
SAM_004,SAM_032,0.520743588
SAM_004,SAM_033,0.644146334
SAM_004,SAM_034,0.524366153
SAM_004,SAM_035,0.675699444
SAM_004,SAM_036,0.599215056
SAM_004,SAM_037,0.576387526
SAM_004,SAM_038,0.718745593
SAM_004,SAM_039,0.678817916
SAM_004,SAM_040,0.531493053
SAM_004,SAM_041,0.798836968
SAM_004,SAM_042,0.282546671
SAM_004,SAM_043,0.70270739
SAM_004,SAM_044,0.722125522
SAM_004,SAM_045,0.701415994
SAM_004,SAM_046,0.631103827
SAM_004,SAM_047,0.6045928
SAM_004,SAM_048,0.612499448
SAM_004,SAM_049,0.626566338
SAM_004,SAM_050,0.780426514
SAM_004,SAM_051,0.800191056
SAM_004,SAM_052,0.681015998
SAM_004,SAM_053,0.308847395
SAM_004,SAM_054,0.739567308
SAM_004,SAM_055,0.717911304
SAM_004,SAM_056,0.616478627
SAM_004,SAM_057,0.801810939
SAM_004,SAM_058,0.818525023
SAM_004,SAM_059,0.736289235
SAM_004,SAM_060,0.711505239
SAM_004,SAM_061,0.871478945
SAM_004,SAM_062,0.672444465
SAM_004,SAM_063,0.53456543
SAM_004,SAM_064,0.606616692
SAM_004,SAM_065,0.503519161
SAM_004,SAM_066,0.285596213
SAM_004,SAM_067,0.657801759
SAM_004,SAM_068,0.621489834
SAM_004,SAM_069,0.63352158
SAM_004,SAM_070,0.625543804
SAM_004,SAM_071,0.706512923
SAM_004,SAM_072,0.521752629
SAM_004,SAM_073,0.693234442
SAM_004,SAM_074,0.578272686
SAM_004,SAM_075,0.666640399
SAM_004,SAM_076,0.658746972
SAM_004,SAM_077,0.459048307
SAM_004,SAM_078,0.611725751
SAM_004,SAM_079,0.75767386
SAM_004,SAM_080,0.449594994
SAM_004,SAM_081,0.654355668
SAM_004,SAM_082,0.666726827
SAM_004,SAM_083,0.578952457
SAM_004,SAM_084,0.406043328
