Sample_1,Sample_2,Euclidean_Distance,Euclidean_Similarity
SAM_047,SAM_100,0.341610175785207,0.7453729988405372
SAM_057,SAM_067,0.3416138135380359,0.7453709777799997
SAM_041,SAM_052,0.3424161085579941,0.7449255067969848
SAM_024,SAM_075,0.3427936644688755,0.7447160546408573
SAM_001,SAM_051,0.3435951072119624,0.7442718380205015
SAM_051,SAM_061,0.3436200985099678,0.7442579945841599
SAM_001,SAM_014,0.3440175864690641,0.7440378831851079
SAM_014,SAM_045,0.3444914879935352,0.7437756273878383
SAM_008,SAM_071,0.3446387028469089,0.7436941967256858
SAM_086,SAM_088,0.3447106009393967,0.7436544333787608
SAM_054,SAM_059,0.3449974324542141,0.7434958430926534
SAM_036,SAM_060,0.3449990418827275,0.7434949534240571
SAM_014,SAM_018,0.3451020276671813,0.7434380288120643
SAM_012,SAM_038,0.3453390373241924,0.7433070566278569
SAM_008,SAM_041,0.3455631279520429,0.7431832659698452
SAM_039,SAM_058,0.3459718634513506,0.7429575811754288
SAM_012,SAM_082,0.3461871675842419,0.7428387553229457
SAM_017,SAM_086,0.346261008344861,0.7427980115307907
SAM_041,SAM_088,0.3463125575257126,0.7427695704167131
SAM_079,SAM_081,0.346521894834944,0.7426540955894219
SAM_054,SAM_078,0.3467134351305124,0.7425484694173918
SAM_058,SAM_061,0.3468043461377034,0.7424983464508031
SAM_073,SAM_092,0.346886945415938,0.7424528119479142
SAM_008,SAM_073,0.3470418755712342,0.7423674186639034
SAM_044,SAM_051,0.3470940814822401,0.7423386486114436
SAM_008,SAM_017,0.3471016698317655,0.7423344669485016
SAM_038,SAM_055,0.3472335767174597,0.7422617853961926
SAM_088,SAM_089,0.3474890886056712,0.7421210371616149
SAM_013,SAM_098,0.3481950150418584,0.7417324562418385
SAM_086,SAM_097,0.3491263391667836,0.7412204261148715
SAM_013,SAM_094,0.3493514794587251,0.74109675293878
SAM_059,SAM_094,0.3493680159945955,0.7410876707811379
